gene_symbol,uniprot_id,protein_groups,protein_description,mol_weight_da,n_precursors_exp,n_samples_detected,pct_samples_detected,median_precursors_used,mean_log2_D14,mean_log2_D21,mean_log2_M03,mean_log2_M06,mean_log2_M12,mean_log2_M18,D14.20747.Quantity.log2,D14.20748.Quantity.log2,D14.20749.Quantity.log2,D14.20750.Quantity.log2,D14.20751.Quantity.log2,D21.20752.Quantity.log2,D21.20753.Quantity.log2,D21.20754.Quantity.log2,D21.20755.Quantity.log2,D21.20756.Quantity.log2,M03.20757.Quantity.log2,M03.20758.Quantity.log2,M03.20759.Quantity.log2,M03.20760.Quantity.log2,M03.20761.Quantity.log2,M06.20762.Quantity.log2,M06.20763.Quantity.log2,M06.20764.Quantity.log2,M06.20765.Quantity.log2,M06.20766.Quantity.log2,M12.20768.Quantity.log2,M12.20769.Quantity.log2,M12.20770.Quantity.log2,M12.20771.Quantity.log2,M12.20772.Quantity.log2,M18.20775b.Quantity.log2,M18.20776-40ul.Quantity.log2,M18.20777.Quantity.log2,M18.20778.Quantity.log2,M18.20779.Quantity.log2,p.value.M03-D14,adj.p.value.M03-D14,log2.fold.change.M03-D14,is.significant.M03-D14,t.statistic.M03-D14,p.value.M18-M03,adj.p.value.M18-M03,log2.fold.change.M18-M03,is.significant.M18-M03,t.statistic.M18-M03,go_molecular_function,go_biological_process,go_cellular_component,kegg_pathway
Magohb,A0A023T778,A0A023T778,"Mago homolog B, exon junction complex core component",17309.82,18,30,100,8,9.949222763546855,9.778062775774808,9.17666437092403,9.278170488107696,9.36368170032545,9.353151019543597,9.465084200670075,10.184724642775192,10.059469729676245,10.482442891006045,9.55439235360672,9.478877354930727,9.66001472238779,9.747237339995378,9.868697482834246,10.13548697872589,9.330503889732366,8.597602383087493,9.100556797317571,9.461933640267816,9.392725144214904,9.57912600227588,9.121779481582513,9.281426787305026,9.327457116534651,9.081063052840411,8.887620202041491,9.25498879314542,9.505662446009032,9.48967784114978,9.680459219281529,8.858264774172522,8.728158640606411,9.154345160110896,9.997482903160092,10.027503619668057,0.0152053662935921,0.0542778159659054,-0.772558392622825,FALSE,-3.1088768311472057,0.599341467810808,0.772360910109861,0.17648664861956576,FALSE,0.5528994523984967,,nucleobase-containing compound metabolic process;RNA processing;mRNA processing;RNA catabolic process;nitrogen compound metabolic process;metabolic process;RNA splicing;catabolic process;cellular process;RNA metabolic process;mRNA metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process,spliceosomal complex;ribonucleoprotein complex;macromolecular complex;neuronal cell body;cell body;cell part,RNA transport;mRNA surveillance pathway;Spliceosome
Pten,A0A024QYR9,A0A024QYR9;O08586,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",64566.83,12,30,100,5,6.066117047327959,6.236072996594083,6.837870443110506,6.484798531513071,6.745767545192544,6.7299933148127336,5.947395535272874,6.2516426201411175,6.488990668626288,6.327641176159689,5.314915236439828,6.310734666980054,6.417911989484775,5.961235325644525,6.116509907823938,6.373973093037118,7.2662302281556945,6.91800453534559,7.1768622041850065,6.467357407333142,6.360897840533097,6.8008865731313675,6.6567119140416215,6.533261996010138,6.303425140019812,6.129707034362417,6.717949556314554,6.705749121578435,6.694733228462899,6.449417446684712,7.1609883729221195,6.638771302024337,6.828864958762073,6.718853183458018,6.903410701510658,6.56006642830858,0.02389287289318794,0.0743599579452377,0.7717533957825475,FALSE,2.7906018386677283,0.6011543556750869,0.773810160559882,-0.10787712829777264,FALSE,-0.5582741927320949,"catalytic activity;inositol or phosphatidylinositol phosphatase activity;phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity;hydrolase activity;hydrolase activity, acting on ester bonds;phosphatase activity;phosphatidylinositol trisphosphate phosphatase activity;lipid phosphatase activity;phosphoric ester hydrolase activity",lipid metabolic process;phosphorus metabolic process;metabolic process;cellular process;cellular metabolic process;primary metabolic process,cell projection;cell part,
Cask,A0A067XG53,A0A067XG53,Calcium/calmodulin dependent serine protein kinase (Fragment),99227.29,43,30,100,17,7.077812828236669,6.847725985258729,7.216721120201322,7.225583337616955,7.397348854604182,7.387409368517874,7.034033040731032,6.808601208674806,7.660495401729199,7.015204895883079,6.870729594165234,6.890624339472588,6.665582385393737,6.788590599828102,6.984003592622178,6.909829008977043,7.162114074488372,7.146024783357953,7.341362996295015,7.3473019560175565,7.0868017908477094,7.291541003324491,7.329621996343765,7.296939165423524,7.151179629125578,7.0586348938674135,7.5807209121811585,7.082929141712697,7.311111766801568,7.3057856735278035,7.706196778797685,7.798314667804357,7.2679015221964995,7.409702203294741,7.132842495911113,7.328285953382655,0.4277161411943136,0.565976533609948,0.13890829196465315,FALSE,0.8630011468715975,0.22119758893693545,0.443510621478773,0.1706882483165515,FALSE,1.3724006414576813,"nucleotide binding;catalytic activity;protein kinase activity;binding;ATP binding;kinase activity;transferase activity;transferase activity, transferring phosphorus-containing groups;phosphotransferase activity, alcohol group as acceptor;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding",,membrane;cell part,
Igkv4-63,A0A075B5M1,A0A075B5M1,Immunoglobulin kappa variable 4-63,10157.25,5,16,53.3,2,,,3.449295672211588,4.160741904692168,4.5463147172216924,6.401836508188208,,,,,,,,,,,3.217402052546187,3.6602785336410024,2.952761328233913,3.966740774425248,,3.972332501482574,4.303323123382042,3.9638094423532415,4.403502551550816,,4.190836385487756,4.027338418626558,,5.761599824254216,4.2054842405182375,3.4708780333642397,,5.856109844516298,7.696700790053932,8.5836573648183645,0.35527523431581476,0.495773874109029,0.562393958547553,FALSE,0.9918832904497572,0.12690687144098864,0.330003149197575,2.474912962879366,FALSE,1.8215791750751,,immune system process;response to stimulus,extracellular space,
Igkv5-39,A0A075B5M7,A0A075B5M7,Immunoglobulin kappa variable 5-39,10345.4,8,29,96.7,5,5.918099451286325,4.528222835661337,6.440591340613091,8.429907954764357,9.9676218891607,9.3042749245276,5.783390655476319,6.155465863896499,5.323521974833938,6.009390752158544,6.3187280100663274,4.534197544975982,4.828656680865658,,4.334459478148493,4.415577638655213,6.573345665434247,8.207952226871324,5.47609389248591,5.84245307072648,6.103111847547498,9.589968589998906,8.376831909913088,7.864848767833897,8.626555484187454,7.691335021888438,9.4622015682953,11.069458945782143,10.929704575879416,9.69494157933915,8.681802776507487,8.617906609080995,8.928528947254781,7.917321540235817,9.09070525615498,11.966912269911436,0.3496589194501858,0.490252845286553,0.5224918893267656,FALSE,1.0306588123962823,0.01129844604858032,0.0914860284211434,2.8636835839145096,FALSE,3.3968594433606327,,immune system process;response to stimulus,extracellular space,
Igkv8-27,A0A075B5N4,A0A075B5N4,Immunoglobulin kappa chain variable 8-27,10976.25,6,29,96.7,3,6.706716529816758,4.343724018532368,6.605860569223429,7.451365419859856,8.269044576455533,8.259507176387098,6.311261054457159,5.8763367970301,6.619876738986171,7.302457503501442,7.42365055510892,3.323566640257643,5.464090882989443,,4.273998296673812,4.313240254208573,7.204361587700684,6.447186416052013,6.245813801591881,6.674256071666755,6.457684969105811,7.372900387977455,7.334006162330331,7.630052554583585,7.29178885013094,7.628079144276964,10.294057955717124,8.030475355281547,6.99785231669838,8.468395715393768,7.554441539186843,8.5229639905479,10.453539045253653,7.050262183057967,7.602057364050733,7.668713299025235,0.7739334096123252,0.845383061851699,-0.10085596059332858,FALSE,-0.29989525784328375,0.04820167730122021,0.192510516681898,1.6536466071636688,FALSE,2.6709292754627585,,immune system process;response to stimulus,extracellular space,
Igkv6-13,A0A075B5N7,A0A075B5N7,Immunoglobulin kappa variable 6-13,10440.57,6,27,90,2,7.288092891165147,5.0376000789014155,7.256956642658861,8.206134530401215,8.161827613415747,8.507117645498786,6.690687323041271,5.742072546829059,6.894528410336308,8.16884622877837,8.944329946840728,5.105448023487125,,,4.969752134315706,,7.475308428227441,7.153488482190507,6.86860546138823,7.227798945445244,7.559581896042884,7.935000982528454,8.120242149551565,8.503606917777192,8.134216351459928,8.337606250688935,7.928647854294067,7.973989306691463,8.176577674068298,7.584039117067864,9.145884114957042,7.916090203478661,8.638184763798007,8.146438004885285,8.151776230492464,9.683099024839516,0.9595341467793338,0.973375958273317,-0.03113624850628582,FALSE,-0.05370536283086014,0.01342951481739036,0.0996460838879306,1.250161002839925,FALSE,3.6805966273623714,,immune system process;response to stimulus,extracellular space,
Ighg2b,A0A075B5P3,A0A075B5P3;A0A0A6YVP0,Immunoglobulin heavy constant gamma 2B (Fragment),,34,30,100,19,10.74298405646493,8.194949308929434,10.957759817372368,12.123091517116631,12.899032660512953,13.652692219956407,10.836372192403406,10.579309376595576,10.578406784240777,10.821437387293267,10.899394541791631,8.197008015892617,8.944078782996174,7.719852002150682,8.391889269865988,7.721918473741709,11.338640368702944,11.069387812008486,10.638936095242697,11.043719205825854,10.698115605081863,12.284276395791972,11.895555036495134,12.529720427729464,12.421583720203914,11.484322005362673,12.725357623995349,13.28995428111276,12.403828350962227,12.998783053593607,13.077239992900816,12.965392474245911,13.82773092805372,14.23539869700292,13.228687922720477,14.006251077759018,0.19150813707951253,0.318569013159302,0.21477576090743788,FALSE,1.4695524939211193,5.272472949699331e-5,0.00627316679525451,2.6949324025840387,TRUE,9.902309018696505,,,,
Ighg1,A0A075B5P4,A0A075B5P4;A0A0A6YWR2,Immunoglobulin heavy constant gamma 1 (G1m marker) (Fragment),,22,30,100,10,9.168440617693793,7.418434994543064,9.300629394271944,9.7288416610840045,9.463263645820847,10.176673777911564,9.691241507023433,8.811713153944007,9.030312346675004,9.310480623595945,8.998455457230586,8.024671661911045,7.520519652614661,7.351170695337567,6.940498926699652,7.25531403615239,9.673946404207312,9.37428267500842,8.943819797118696,9.519884561299822,8.991213533725471,10.669780077796394,9.809593970195388,9.225755966790498,9.82328005701449,9.11579823362325,9.475726999960356,9.892249856573518,9.672995213632664,9.33023305833656,8.945113100601139,10.807306962669818,12.23633760852313,9.703211319505863,8.542451672999475,9.59406132585953,0.5472385328725176,0.669123993723445,0.13218877657815042,FALSE,0.6285305952168979,0.2388513652951404,0.463549753552153,0.8760443836396199,FALSE,1.3606952390923397,,,,
Ighg3,A0A075B5P5,A0A075B5P5;A0A1Y7VJN6;P03987,Immunoglobulin heavy constant gamma 3 (Fragment),,18,30,100,9,7.947844962655128,5.426777348782741,8.373063170573255,8.954463742197287,9.48920498991859,8.358413363628094,7.899226355710246,7.751262091717805,7.703078956100548,8.068349416983779,8.317307992763263,5.714034484433393,6.482994515674035,5.220547047081517,4.860430319911751,4.855880376813012,8.694563848158499,8.656799621696981,8.295470623001028,7.845926719092479,8.37255504091728,8.420901610452333,8.556856010850561,9.446626099798904,8.218253106953206,10.12968188293144,10.006885207913085,9.515050225416422,8.89266268891373,9.36145724740507,9.669969579944652,7.67852771611143,9.33364032279038,7.600143287625547,9.584986807397716,7.5947686842153965,0.05821199985828602,0.139044999257135,0.42521820791812726,FALSE,2.241554421239544,0.9766913594480736,0.988217741336735,-0.01464980694516171,FALSE,-0.030735680985456,antigen binding;receptor binding;binding;protein binding;immunoglobulin receptor binding;Fc-gamma receptor I complex binding,immune system process;response to stress;metabolic process;response to biotic stimulus;protein metabolic process;macromolecule metabolic process;primary metabolic process;response to stimulus;multi-organism process;biological regulation,extracellular space;immunoglobulin complex;macromolecular complex;protein complex,
