gene_symbol,uniprot_id,protein_groups,protein_description,mol_weight_da,n_precursors_exp,n_samples_detected,pct_samples_detected,median_precursors_used,mean_log2_D14,mean_log2_D21,mean_log2_M03,mean_log2_M06,mean_log2_M12,mean_log2_M18,D14.20747.Quantity.log2,D14.20748.Quantity.log2,D14.20749.Quantity.log2,D14.20750.Quantity.log2,D14.20751.Quantity.log2,D21.20752.Quantity.log2,D21.20753.Quantity.log2,D21.20754.Quantity.log2,D21.20755.Quantity.log2,D21.20756.Quantity.log2,M03.20757.Quantity.log2,M03.20758.Quantity.log2,M03.20759.Quantity.log2,M03.20760.Quantity.log2,M03.20761.Quantity.log2,M06.20762.Quantity.log2,M06.20763.Quantity.log2,M06.20764.Quantity.log2,M06.20765.Quantity.log2,M06.20766.Quantity.log2,M12.20768.Quantity.log2,M12.20769.Quantity.log2,M12.20770.Quantity.log2,M12.20771.Quantity.log2,M12.20772.Quantity.log2,M18.20775b.Quantity.log2,M18.20776-40ul.Quantity.log2,M18.20777.Quantity.log2,M18.20778.Quantity.log2,M18.20779.Quantity.log2,p.value.M03-D14,adj.p.value.M03-D14,log2.fold.change.M03-D14,is.significant.M03-D14,t.statistic.M03-D14,p.value.M18-M03,adj.p.value.M18-M03,log2.fold.change.M18-M03,is.significant.M18-M03,t.statistic.M18-M03,go_molecular_function,go_biological_process,go_cellular_component,kegg_pathway,rna_ensembl_id,rna_baseMean,rna_log2FC,rna_lfcSE,rna_pvalue,rna_padj,rna_gene_label
6430548M08Rik,Q3TA40,Q3TA40;Q8R0A7,RIKEN cDNA 6430548M08 gene,45218.27,10,20,66.7,4,,,3.6861005351525797,4.218715331065032,4.36635486355664,4.441426207729515,,,,,,,,,,,3.988308410085112,3.3550731919086716,3.828585795616218,3.955265535203409,3.3032697429494866,4.6730098836150615,4.60849386532923,4.355845330332795,4.004574872496133,3.4516527035519378,4.248063065611062,3.906892613536878,4.687027906578696,4.237575995988721,4.752214736067847,4.513120357654326,4.387645040173505,5.156902273318442,3.8886051220759135,4.26085824542539,0.00310372640197636,0.0189397849756967,1.0997524077532417,TRUE,4.338505028661358,0.02014532693164833,0.123498691915363,0.7553256725769364,FALSE,2.9644851336026448,,,,,ENSMUSG00000031824,2798.18127138657,1.12974048641333,0.836206351108361,0.00484777305216977,0.0442704955852686,6430548M08Rik
A1bg,Q19LI2,Q19LI2,Alpha-1B-glycoprotein,56554.03,31,20,66.7,19,,,8.244864299756987,9.342659854439535,10.914065751166465,11.91286151128778,,,,,,,,,,,9.05568177308103,7.201675555143741,8.781074706995346,7.172727658383486,9.013161805181324,9.946356338158465,9.90054503933466,9.11120031684705,9.649317036246202,8.105880541611308,10.801440962297065,10.76276685465528,11.307123802294878,11.309656477414482,10.38934065917062,11.379885718601544,11.842144579038882,12.017086195506206,11.690984895807777,12.634206167484484,1.8758111397425588e-5,7.47143378359085e-4,5.433779538008121,TRUE,10.562402458197466,3.274180154381002e-4,0.0171968200901272,3.667997211530789,TRUE,7.613261919526879,,,extracellular region;plasma membrane;membrane;cell part,,ENSMUSG00000022347,22.520867778173,-1.00600491975091,0.62084165458362,0.00407500957730181,0.0391292624646073,A1bg
Abi3,Q8BYZ1,Q8BYZ1,ABI gene family member 3,39106.6,5,25,83.3,3,4.036837426197662,3.958462032889648,4.967599714389206,5.084609186564672,5.124698839010421,5.911048670213407,,4.199838112548559,,3.873836739846765,,3.07304435924955,4.523647137297003,4.278694602122391,,,4.913199596676307,5.221995332459893,5.034664817086955,4.555009042895037,5.113129782827838,5.027115814477371,5.056578679770409,4.954737854223938,5.314591264977144,5.070022319374498,5.629042611602541,5.197750475376911,4.206988693079929,5.1574002917677015,5.432312123225023,6.25247213130101,5.636674178351413,5.692458536904752,6.143432418132258,5.8302060863776015,0.01555190001598611,0.0551658696708748,2.169897750342601,FALSE,3.857299890354712,5.06408816836709e-4,0.0217699049734983,0.9434489558242004,TRUE,5.619377368237381,actin binding;binding;protein binding;cytoskeletal protein binding;SH3 domain binding;protein domain specific binding;identical protein binding;actin filament binding,response to stress;organelle organization;cytoskeleton organization;response to biotic stimulus;cellular process;cellular component organization;response to stimulus;biological regulation,cytoplasm;macromolecular complex;cell projection;neuron projection;protein complex;cell part,,ENSMUSG00000018381,382.524748079465,0.488002853820834,0.220601422974131,0.00463528250903083,0.0428485144673392,Abi3
Ace,P09470,P09470,Angiotensin-converting enzyme,150918.2,20,25,83.3,5,6.501907178736137,5.971192871359811,5.569364691591591,5.648026734731968,5.469899508649977,5.134382016001272,6.294626918345249,6.613393021496444,6.550126274307084,6.268900600973438,6.782489078558467,5.896160626146592,6.067987532977215,5.889508698048914,6.145844165739228,5.856463333887108,5.373221353789678,5.697298278504678,5.489728303391662,5.8548971007340365,5.431678421537904,5.86392705794581,5.2950383893814665,5.761764253290902,5.413735476207052,5.905668496834612,,,,5.766557114267702,5.1732419030322525,,5.642377977933383,4.655218538630906,,5.105549531439527,1.1349831208212252e-4,0.00211656663820882,-0.9325424871445458,TRUE,-7.0252633181405955,0.10182563545346422,0.290993317424907,-1.2068182999828938,FALSE,-2.087656443623413,"G-protein-coupled receptor binding;actin binding;catalytic activity;endopeptidase activity;carboxypeptidase activity;metalloendopeptidase activity;receptor binding;binding;protein binding;calmodulin binding;cytoskeletal protein binding;peptidase activity;metalloexopeptidase activity;serine-type peptidase activity;metallopeptidase activity;exopeptidase activity;tripeptidyl-peptidase activity;peptidyl-dipeptidase activity;zinc ion binding;hydrolase activity;dipeptidase activity;serine hydrolase activity;enzyme binding;kinase binding;protein kinase binding;chloride ion binding;mitogen-activated protein kinase kinase binding;bradykinin receptor binding;ion binding;anion binding;cation binding;metal ion binding;transition metal ion binding;mitogen-activated protein kinase binding;peptidase activity, acting on L-amino acid peptides;metallodipeptidase activity",immune system process;circulatory system process;peptide metabolic process;transport;lipid transport;response to stress;behavior;metabolic process;cell proliferation;catabolic process;response to external stimulus;response to biotic stimulus;anatomical structure morphogenesis;response to endogenous stimulus;embryo development;cellular process;response to extracellular stimulus;organic acid transport;protein metabolic process;cellular homeostasis;regulation of protein modification process;multicellular organismal process;developmental process;response to chemical stimulus;hormone metabolic process;homeostatic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;secretion;anatomical structure formation involved in morphogenesis;anatomical structure development;endocrine process;response to stimulus;regulation of transport;establishment of localization;protein maturation;multi-organism process;biological regulation,extracellular space;cytoplasm;lysosome;endosome;vacuole;plasma membrane;membrane;vesicle;organelle;intracellular organelle;extracellular organelle;intracellular membrane-bounded organelle;cell part,Renin-angiotensin system;Chagas disease (American trypanosomiasis);Hypertrophic cardiomyopathy (HCM),ENSMUSG00000020681,648.406702616397,-0.790802479329927,0.475665274291354,0.00511712356864044,0.045821800249615,Ace
Acp5,Q05117,Q05117,Tartrate-resistant acid phosphatase type 5,36807.12,16,17,56.7,4,4.702731332257941,,3.500765958498432,4.934115666833591,5.759357284147607,8.005922448771521,,,,4.62615829999196,4.779304364523922,,,,,,,,,4.240471969664247,2.761059947332617,,,4.695613706861587,5.092056561734965,5.014676731904222,5.107906502950117,5.325155142733616,5.83368306462309,6.68361255110088,5.846429159330335,6.85704064342378,5.910549320407031,8.030928079055576,9.590132312339254,9.640961888631969,,,,FALSE,,7.029031873110921e-4,0.0246289028653309,5.221218704717822,TRUE,5.409060115652792,"catalytic activity;acid phosphatase activity;binding;iron ion binding;ferrous iron binding;ferric iron binding;hydrolase activity;hydrolase activity, acting on ester bonds;phosphatase activity;phosphoric ester hydrolase activity;ion binding;cation binding;metal ion binding;transition metal ion binding",phosphorus metabolic process;nitrogen compound metabolic process;response to stress;metabolic process;biosynthetic process;response to biotic stimulus;anatomical structure morphogenesis;cellular process;developmental process;cellular nitrogen compound metabolic process;response to chemical stimulus;homeostatic process;cellular metabolic process;response to stimulus;multi-organism process;biological regulation,extracellular space;lysosome;vacuole;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,Riboflavin metabolism;Osteoclast differentiation;Rheumatoid arthritis,ENSMUSG00000001348,365.432204876475,1.61901929453171,0.402996426821651,2.82585088790706e-6,1.2080320049148e-4,Acp5
Acsm3,Q3UNX5,Q3UNX5,"Acyl-coenzyme A synthetase ACSM3, mitochondrial",65623.14,6,11,36.7,2,4.490480780741938,3.515707108707975,,,,3.9974398317736295,4.684318552053748,4.371599194056925,4.730443704858626,4.740136288001639,3.925906164738748,2.8427007947435734,3.791267934684233,2.863103378543062,3.956374473255504,4.1250889623135025,,,,,,,,,,,,,,,,,,3.9974398317736295,,,8.544346269907105e-4,0.00798598946461096,-2.1841790206597196,TRUE,-6.231648628684697,,,,FALSE,,"nucleotide binding;catalytic activity;fatty-acyl-CoA synthase activity;binding;ATP binding;CoA-transferase activity;fatty acid ligase activity;C-acyltransferase activity;transferase activity;transferase activity, transferring acyl groups;transferase activity, transferring acyl groups other than amino-acyl groups;transferase activity, transferring sulfur-containing groups;ligase activity;ligase activity, forming carbon-sulfur bonds;acid-thiol ligase activity;purine nucleotide binding;propionate CoA-transferase activity;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;ion binding;cation binding;branched-chain acyl-CoA synthetase (ADP-forming) activity;metal ion binding;butyrate-CoA ligase activity;propionate-CoA ligase activity",organic acid metabolic process;lipid metabolic process;metabolic process;biosynthetic process;cellular process;cellular ketone metabolic process;cellular metabolic process;primary metabolic process;cellular lipid metabolic process;small molecule metabolic process;cofactor metabolic process,mitochondrion;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,Butanoate metabolism,ENSMUSG00000030935,153.937855390495,1.66391555460682,0.823175364165183,0.00125804300282557,0.0161517485035437,Acsm3
Ada,P03958,P03958,Adenosine deaminase,39991.64,40,30,100,22,8.165114396178371,8.305803467679183,9.190308277193967,8.964515800667206,9.32190177175087,9.662880052515082,8.710324046393103,7.761246355039899,8.587257101985237,8.023491263592273,7.7432532138813395,8.349851769847566,8.313028875724676,8.27197018182363,8.146946793200177,8.44721971779987,9.277580556277904,8.820694440817322,9.491751217853896,8.937574613196633,9.42394055782408,9.580534381983613,8.904722903753298,8.805394068918684,8.821099253907775,8.71082839477266,9.364558032433886,8.469104941310855,9.590625766236965,9.216068488754155,9.969151630018494,9.99282417972616,9.413381301971562,10.273747658878962,9.297637406584911,9.336809715413803,0.00419618220130701,0.0232998855380456,1.0251938810155965,TRUE,4.202623072662057,0.08799689446696242,0.268384322695315,0.4725717753211143,FALSE,1.9815130787490012,"nucleoside binding;purine nucleoside binding;catalytic activity;adenosine deaminase activity;binding;zinc ion binding;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines;deaminase activity;ion binding;cation binding;metal ion binding;transition metal ion binding;deoxyadenosine deaminase activity",cell activation;immune system process;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;nitrogen compound metabolic process;transport;cellular component movement;muscle contraction;response to stress;cell adhesion;signal transduction;behavior;metabolic process;cell death;cell proliferation;catabolic process;biosynthetic process;nucleoside metabolic process;nucleotide metabolic process;amine metabolic process;response to external stimulus;embryo development;cellular process;response to extracellular stimulus;amine transport;death;biological adhesion;cell differentiation;multicellular organismal process;developmental process;cellular nitrogen compound metabolic process;nucleobase-containing compound catabolic process;locomotion;response to chemical stimulus;pigment metabolic process;cellular metabolic compound salvage;purine-containing compound salvage;cellular amide metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;secretion;rhythmic process;anatomical structure development;cell motility;regulation of body fluid levels;response to stimulus;regulation of transport;establishment of localization;nucleobase-containing small molecule metabolic process;biological regulation,extracellular space;cytoplasm;lysosome;vacuole;cytosol;plasma membrane;cell surface;membrane;neuronal cell body;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell body;cell part,Purine metabolism;Primary immunodeficiency,ENSMUSG00000017697,407.594738340391,0.447594434076348,0.156407279167084,9.6569282192531e-4,0.0131386463080674,Ada
Adhfe1,A0A087WRE7,A0A087WRE7;Q8R0N6,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment)",,12,30,100,5,5.338638360626664,5.384190061401081,6.088599094330538,5.820648654036825,6.0869596769769405,6.534062279018959,5.660255571789395,5.403935721240414,5.358915811424939,5.304466495526798,4.965618203151774,5.348661706201347,5.704710414112386,5.008457346560732,5.614656830366524,5.244464009764419,6.1125042540778844,6.061518369466313,6.294724644580252,5.671977443117378,6.302270760410862,5.977353737657271,5.464660410615162,5.8161298608282275,5.560224481529203,6.284874779554258,6.161930694692767,5.86234478817701,5.765632307810305,5.8229337027019445,6.821956891502677,6.56240827512015,6.731577475542464,5.18076524784883,7.080049788456683,7.115510608126662,0.00156537829473195,0.0120243037542024,0.7499607337038743,TRUE,4.689792289529194,0.2867733008388267,0.517612490368532,0.4454631846884203,FALSE,1.1968861544686786,"catalytic activity;alcohol dehydrogenase (NAD) activity;binding;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;ion binding;cation binding;metal ion binding;hydroxyacid-oxoacid transhydrogenase activity",,mitochondrion;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,,ENSMUSG00000025911,880.581052828763,0.921661738128164,0.271948177072701,5.21319179766405e-5,0.00130863625781682,Adhfe1
Ak1,Q9R0Y5,Q9R0Y5,Adenylate kinase isoenzyme 1,21539.6,13,30,100,5,7.630393000471936,7.457779666927574,9.13342795264372,9.512488009607193,9.711997367563935,8.692368157879484,7.760518954638681,7.921042864390547,7.663671778786547,7.848697909486898,6.958033495057012,7.523328997965326,7.741881279727971,7.128939875665888,7.3547232814567325,7.540024899821956,8.918243534566743,9.354170271435637,9.333376904546238,9.249025322550484,8.812323730119504,8.810178765218328,10.247855822052092,9.557540477540334,9.324292637390007,9.6225723458352,9.073093242483113,9.697274095212226,9.901800571573974,9.740888134204328,10.14693079434604,8.957730781073725,9.424363149709569,8.628050767803085,8.291783651967279,8.15991243884377,1.8530430951172095e-4,0.00290422965528719,1.5030349521717854,TRUE,7.274872944974913,0.1367363048869306,0.341987412050968,-0.4410597947642376,FALSE,-1.7261130189298497,"nucleotide binding;catalytic activity;adenylate kinase activity;nucleoside diphosphate kinase activity;binding;ATP binding;kinase activity;transferase activity;transferase activity, transferring phosphorus-containing groups;phosphotransferase activity, phosphate group as acceptor;purine nucleotide binding;nucleotide kinase activity;nucleobase-containing compound kinase activity;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;nucleoside triphosphate adenylate kinase activity",nucleobase-containing compound metabolic process;phosphorus metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;nucleoside metabolic process;nucleotide metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;regulation of transport;nucleobase-containing small molecule metabolic process;biological regulation,cytoplasm;cytosol;cell part,Purine metabolism,ENSMUSG00000026817,512.097951260698,-1.28225457237666,0.487534856376716,3.7437010828016e-4,0.00641210985677669,Ak1
Ak2,Q9WTP6,Q9WTP6,"Adenylate kinase 2, mitochondrial",26468.7,38,30,100,25.5,11.757150529798976,11.540988461428807,11.046177625633224,10.867411863707465,11.287443326440282,11.231912333571474,12.13237970296149,11.404042173712002,11.847167482489954,11.46373140019336,11.93843188963807,11.272731575094053,11.422913362746437,11.642141288156276,11.702372566148386,11.664783514998886,10.97297374047841,11.083791909421942,10.88239425354844,11.266959352806657,11.024768871910668,10.908817348594985,10.8376149413743,10.818902767799877,10.99178884115889,10.77993541960927,11.310274943263048,11.209856250775552,11.280148870715674,11.135246472452488,11.501690094994652,11.294989607806274,11.416635450707862,11.420019179997295,11.126453517562,10.901463911783935,0.0043167205967362,0.0236010462254289,-0.710972904165752,TRUE,-4.611728107023941,0.1589445172242562,0.371601205828873,0.1857347079382503,FALSE,1.5793492993559002,"nucleotide binding;catalytic activity;adenylate kinase activity;binding;ATP binding;kinase activity;transferase activity;transferase activity, transferring phosphorus-containing groups;phosphotransferase activity, phosphate group as acceptor;purine nucleotide binding;nucleotide kinase activity;nucleobase-containing compound kinase activity;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding",nucleobase-containing compound metabolic process;phosphorus metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;nucleotide metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;nucleobase-containing small molecule metabolic process,cytoplasm;mitochondrion;membrane;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,Purine metabolism,ENSMUSG00000028792,3448.17422887363,-0.394940729674713,0.0987795924681978,1.96283349071779e-5,6.0619871330455e-4,Ak2
