gene_symbol,uniprot_id,protein_groups,protein_description,mol_weight_da,n_precursors_exp,n_samples_detected,pct_samples_detected,median_precursors_used,mean_log2_D14,mean_log2_D21,mean_log2_M03,mean_log2_M06,mean_log2_M12,mean_log2_M18,D14.20713.Quantity.log2,D14.20714-40ul.Quantity.log2,D14.20715.Quantity.log2,D14.20716.Quantity.log2,D14.20717.Quantity.log2,D21.20718.Quantity.log2,D21.20719b.Quantity.log2,D21.20720.Quantity.log2,D21.20721-40ul.Quantity.log2,D21.20722.Quantity.log2,M03.20723.Quantity.log2,M03.20724.Quantity.log2,M03.20725.Quantity.log2,M03.20726-40ul.Quantity.log2,M03.20727.Quantity.log2,M06.20728b.Quantity.log2,M06.20729.Quantity.log2,M06.20730.Quantity.log2,M06.20731.Quantity.log2,M06.20732.Quantity.log2,M12.20733.Quantity.log2,M12.20734.Quantity.log2,M12.20735.Quantity.log2,M12.20736.Quantity.log2,M12.20737.Quantity.log2,M18.20740-40ul.Quantity.log2,M18.20741.Quantity.log2,M18.20742.Quantity.log2,M18.20743.Quantity.log2,M18.20744.Quantity.log2,p.value.M03-D14,adj.p.value.M03-D14,log2.fold.change.M03-D14,is.significant.M03-D14,t.statistic.M03-D14,p.value.M18-M03,adj.p.value.M18-M03,log2.fold.change.M18-M03,is.significant.M18-M03,t.statistic.M18-M03,go_molecular_function,go_biological_process,go_cellular_component,kegg_pathway,rna_ensembl_id,rna_baseMean,rna_log2FC,rna_lfcSE,rna_pvalue,rna_padj,rna_gene_label
A1bg,Q19LI2,Q19LI2,Alpha-1B-glycoprotein,56554.03,23,29,96.7,13,8.040124408984047,7.139641023361602,9.025860933495796,9.364314161032711,10.218164963125284,10.830643524565968,5.3740366602932585,7.641609476061099,8.027227542763711,9.843977102695913,9.313771263106256,7.203872653333337,,6.365729321395035,7.244381692849099,7.744580425868937,9.309368657511024,9.874589782151698,8.740962741597174,8.113166196055987,9.091217290163092,9.864132573647364,9.410115784311978,9.7899173550541,7.727238593165851,10.030166498984256,10.112843533306,10.167183517293507,10.498832167431225,10.725482654471426,9.586482943124258,11.102035441428512,10.765788287210029,11.162660847516651,10.382869636570758,10.739863410103885,0.28853599523091966,0.456568145565211,0.9857365245117506,FALSE,1.1840205917071354,0.00166292981391288,0.0352158438975668,1.804782591070172,TRUE,5.548575873421807,,,extracellular region;plasma membrane;membrane;cell part,,ENSMUSG00000022347,22.520867778173,-1.00600491975091,0.62084165458362,0.00407500957730181,0.0391292624646073,A1bg
Aaas,P58742,P58742,Aladin,59430.72,12,30,100,5,6.977633679634553,6.641653848841166,6.108420804272536,6.007577526920551,6.299122613670123,6.523057784395421,6.740371848236909,7.308516796079834,7.094547773454028,6.740893279665634,7.00383870073636,6.669020089538705,6.404447505056958,6.533700443061757,7.263747441652916,6.337353764895493,6.1273530050023535,6.120528358779602,6.061513425360429,6.4903765616981826,5.742332670522119,6.122947871143719,6.034635770175284,6.079168662249447,6.096938692627074,5.704196638407228,5.444285838223832,6.507109510331703,6.563053910390109,6.023792755308227,6.957371054096742,7.285114741065337,6.7105435053224545,6.022915513482913,6.190520539052657,6.406194623053745,6.660711976381995e-4,0.0170730557411706,-0.8692128753620167,TRUE,-5.396888846245038,0.1504682559432036,0.276020054555606,0.41463698012288486,FALSE,1.6435753946542797,,transport;nucleocytoplasmic transport;organelle organization;cytoskeleton organization;behavior;cellular process;protein transport;nucleobase-containing compound transport;cellular component organization;cellular component assembly;multicellular organismal process;neurological system process;response to stimulus;nuclear transport;establishment of localization;organelle assembly,nuclear envelope;nuclear pore;nucleoplasm;centrosome;microtubule organizing center;cytosol;membrane;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;protein complex;cell part,RNA transport,ENSMUSG00000036678,805.934152861056,-0.409101736455432,0.143347846661559,0.00115764506662578,0.0151605120620132,Aaas
Acaa1a,Q921H8,Q921H8,"3-ketoacyl-CoA thiolase A, peroxisomal",43953.3,35,30,100,25,10.380647249693634,10.63331633927569,11.148565819913554,11.238455265172753,11.20765143832194,11.655271604348446,9.882584562415191,10.269154508294076,10.45668002561312,10.420477746248965,10.87433940589682,10.543404530901336,10.659265797197028,10.798249099889162,10.535579265307478,10.630083003083454,11.130103268724714,11.408821832455788,10.973010539316771,11.18524310013838,11.045650358932122,11.041595489891709,11.303507361294637,11.350766567008977,11.416530567717302,11.079876339951142,10.686182360932298,11.081493677969444,11.266894747227395,11.437597285090368,11.566089120390194,11.399806875453557,11.179434273350925,11.42351489280114,12.147370309994695,12.12623167014191,0.00551956676358154,0.043675938585702,0.7679185702199209,TRUE,4.352972834964889,0.06380873816589867,0.163439925828442,0.5067057844348906,FALSE,2.3622844761224626,"catalytic activity;acetyl-CoA C-acetyltransferase activity;acetyl-CoA C-acyltransferase activity;acyl-CoA oxidase activity;CoA-transferase activity;acetate CoA-transferase activity;palmitoyl-CoA oxidase activity;acetyltransferase activity;C-acyltransferase activity;C-acetyltransferase activity;oxidoreductase activity;oxidoreductase activity, acting on the CH-CH group of donors;oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor;transferase activity;transferase activity, transferring acyl groups;transferase activity, transferring acyl groups other than amino-acyl groups;transferase activity, transferring sulfur-containing groups;myristoyltransferase activity;acetyl-CoA C-myristoyltransferase activity",organic acid metabolic process;lipid metabolic process;cellular aromatic compound metabolic process;xenobiotic metabolic process;metabolic process;catabolic process;response to external stimulus;response to endogenous stimulus;cellular process;response to extracellular stimulus;cellular ketone metabolic process;response to chemical stimulus;cellular metabolic process;primary metabolic process;cellular lipid metabolic process;small molecule metabolic process;response to stimulus,mitochondrion;peroxisome;microbody;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,"Fatty acid metabolism;Valine, leucine and isoleucine degradation;Benzoate degradation;Biosynthesis of unsaturated fatty acids;PPAR signaling pathway;Peroxisome",ENSMUSG00000036138,4283.10324563975,0.391340993982605,0.118539977924358,2.9399698285309e-4,0.0052414984817979,Acaa1a
Ace,P09470,P09470,Angiotensin-converting enzyme,150918.2,43,29,96.7,14,9.073109347193475,8.776711698341352,7.573088378458382,7.513281604289219,7.23619758604755,7.458354074329561,8.982036571568676,9.6367283802545,9.682725251286438,8.073449435168722,8.990607097689036,8.510993853386696,8.976279434765573,8.543567841768269,9.154160944641047,8.698556417145179,7.359480679003996,7.343490181845382,7.496343028247693,7.977020452054798,7.689107551140043,7.652363269386077,7.309448042698204,7.55428378806952,7.3110743385049535,7.739238582787336,7.249405010861772,7.190046187441929,6.848872853968576,7.281898765281947,7.610765112683525,,7.263740708978411,6.9328724467604115,7.43912284601929,8.197680295560128,0.0043725296732973,0.0386395440755536,-1.5000209687350925,TRUE,-4.7618828175041985,0.33477341496350177,0.473119837379543,-0.9960274967075078,FALSE,-1.0908081192115429,"G-protein-coupled receptor binding;actin binding;catalytic activity;endopeptidase activity;carboxypeptidase activity;metalloendopeptidase activity;receptor binding;binding;protein binding;calmodulin binding;cytoskeletal protein binding;peptidase activity;metalloexopeptidase activity;serine-type peptidase activity;metallopeptidase activity;exopeptidase activity;tripeptidyl-peptidase activity;peptidyl-dipeptidase activity;zinc ion binding;hydrolase activity;dipeptidase activity;serine hydrolase activity;enzyme binding;kinase binding;protein kinase binding;chloride ion binding;mitogen-activated protein kinase kinase binding;bradykinin receptor binding;ion binding;anion binding;cation binding;metal ion binding;transition metal ion binding;mitogen-activated protein kinase binding;peptidase activity, acting on L-amino acid peptides;metallodipeptidase activity",immune system process;circulatory system process;peptide metabolic process;transport;lipid transport;response to stress;behavior;metabolic process;cell proliferation;catabolic process;response to external stimulus;response to biotic stimulus;anatomical structure morphogenesis;response to endogenous stimulus;embryo development;cellular process;response to extracellular stimulus;organic acid transport;protein metabolic process;cellular homeostasis;regulation of protein modification process;multicellular organismal process;developmental process;response to chemical stimulus;hormone metabolic process;homeostatic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;secretion;anatomical structure formation involved in morphogenesis;anatomical structure development;endocrine process;response to stimulus;regulation of transport;establishment of localization;protein maturation;multi-organism process;biological regulation,extracellular space;cytoplasm;lysosome;endosome;vacuole;plasma membrane;membrane;vesicle;organelle;intracellular organelle;extracellular organelle;intracellular membrane-bounded organelle;cell part,Renin-angiotensin system;Chagas disease (American trypanosomiasis);Hypertrophic cardiomyopathy (HCM),ENSMUSG00000020681,648.406702616397,-0.790802479329927,0.475665274291354,0.00511712356864044,0.045821800249615,Ace
Ada,P03958,P03958,Adenosine deaminase,39991.64,26,30,100,12,6.632817080434473,6.839974913721129,8.104533421704856,7.960094397486534,7.344255781489563,7.802591964398897,6.359787623219449,6.09864769468076,6.869059201150994,7.25002960064194,6.586561282479218,6.666544000248866,6.7813445039242355,6.702795279332377,6.668910729881614,7.380280055218552,7.896690031520405,7.759913573747322,8.162533316408904,8.163027859083899,8.540502327763752,8.2766507936188,7.843926129540396,7.855759499644707,7.478498455812285,8.345637108816481,7.536593820658868,6.444432705586719,7.842418349521315,7.852543796264322,7.045290235416593,8.573772562363281,7.158652983256776,8.262439853970728,7.814585106090607,7.20350931631309,4.8542606558469296e-4,0.0148550282723316,1.4717163412703833,TRUE,6.117302489224669,0.3712953463851262,0.510295848978255,-0.30194145730595867,FALSE,-0.9698013176033796,"nucleoside binding;purine nucleoside binding;catalytic activity;adenosine deaminase activity;binding;zinc ion binding;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines;deaminase activity;ion binding;cation binding;metal ion binding;transition metal ion binding;deoxyadenosine deaminase activity",cell activation;immune system process;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;nitrogen compound metabolic process;transport;cellular component movement;muscle contraction;response to stress;cell adhesion;signal transduction;behavior;metabolic process;cell death;cell proliferation;catabolic process;biosynthetic process;nucleoside metabolic process;nucleotide metabolic process;amine metabolic process;response to external stimulus;embryo development;cellular process;response to extracellular stimulus;amine transport;death;biological adhesion;cell differentiation;multicellular organismal process;developmental process;cellular nitrogen compound metabolic process;nucleobase-containing compound catabolic process;locomotion;response to chemical stimulus;pigment metabolic process;cellular metabolic compound salvage;purine-containing compound salvage;cellular amide metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;secretion;rhythmic process;anatomical structure development;cell motility;regulation of body fluid levels;response to stimulus;regulation of transport;establishment of localization;nucleobase-containing small molecule metabolic process;biological regulation,extracellular space;cytoplasm;lysosome;vacuole;cytosol;plasma membrane;cell surface;membrane;neuronal cell body;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell body;cell part,Purine metabolism;Primary immunodeficiency,ENSMUSG00000017697,407.594738340391,0.447594434076348,0.156407279167084,9.6569282192531e-4,0.0131386463080674,Ada
Adhfe1,A0A087WRE7,A0A087WRE7;Q8R0N6,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (Fragment)",,20,30,100,6,6.9484880527614,7.505890011071571,8.473736872561897,8.18137496632076,7.667235572072113,8.431660950420522,6.143466984595842,6.6439232201755205,7.009535639947473,7.553793326060159,7.391721093028002,7.115759823381179,7.2748417811842785,7.767403533191704,7.710664361646289,7.6607805559544,8.14552468764751,8.390882931435932,8.777970416426204,8.477550401873447,8.576755925426399,8.705352482029141,7.856719870558856,7.699736164035916,8.353642084175082,8.291424230804804,7.288499025574251,7.429306614454425,7.43907286567599,7.922491036770743,8.256808317885154,8.339655806539628,7.691250773573332,9.003339303143463,8.63678468170778,8.487274187138407,0.00222090535116664,0.0271187215346445,1.5252488198004972,TRUE,5.523275559328933,0.8664931586519654,0.918121756498023,-0.04207592214137534,FALSE,-0.17574168626539094,"catalytic activity;alcohol dehydrogenase (NAD) activity;binding;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;ion binding;cation binding;metal ion binding;hydroxyacid-oxoacid transhydrogenase activity",,mitochondrion;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,,ENSMUSG00000025911,880.581052828763,0.921661738128164,0.271948177072701,5.21319179766405e-5,0.00130863625781682,Adhfe1
Aldh1a3,Q9JHW9,Q9JHW9,Retinaldehyde dehydrogenase 3,56157.38,5,28,93.3,2,4.480218265149632,3.886477648350869,5.3652195877374,5.902187720156423,5.1476809092869305,5.264334702738864,4.655399589861003,4.249719364622146,4.572092790057251,4.549428409000263,4.374451172207496,3.954793310611592,3.5833653887086734,4.602736804666075,,3.405015089417138,5.076949793330596,5.026443405543074,5.734745999346119,5.842077423473836,5.145881316993376,5.637086946444806,5.5460486238728155,5.960088835254111,6.451364445380712,5.916349749829671,5.253243881895996,5.00043917683769,4.984608377623934,5.468467933939849,5.031645176137184,4.541681442804333,5.325305455089683,6.480423145113867,4.709928767947572,,0.00455586082810125,0.039431534266885,0.885001322587768,TRUE,4.670347396838658,0.37834094810046104,0.517019312712662,-0.6619702546146478,FALSE,-0.9750452557508602,"nucleotide binding;retinal dehydrogenase activity;catalytic activity;3-chloroallyl aldehyde dehydrogenase activity;aldehyde dehydrogenase (NAD) activity;aldehyde dehydrogenase [NAD(P)+] activity;binding;protein binding;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors;hormone binding;identical protein binding;protein homodimerization activity;protein dimerization activity;cofactor binding;coenzyme binding;NAD binding;thyroid hormone binding;NAD+ binding",cellular aldehyde metabolic process;organic acid metabolic process;protein complex assembly;lipid metabolic process;vitamin metabolic process;behavior;metabolic process;cell death;biosynthetic process;response to external stimulus;anatomical structure morphogenesis;cellular process;cellular component organization;death;cellular component assembly;multicellular organismal process;developmental process;cellular ketone metabolic process;hormone metabolic process;cellular metabolic process;primary metabolic process;cellular lipid metabolic process;small molecule metabolic process;anatomical structure development;neurological system process;response to stimulus;macromolecular complex assembly;biological regulation,cytoplasm;cell part,Glycolysis / Gluconeogenesis;Histidine metabolism;Tyrosine metabolism;Phenylalanine metabolism;beta-Alanine metabolism;Metabolism of xenobiotics by cytochrome P450;Drug metabolism - cytochrome P450,ENSMUSG00000015134,332.21798071083,0.930175402226306,0.194549826989642,1.44883556937154e-7,9.98285750991262e-6,Aldh1a3
Aox3,G3X982,G3X982,Aldehyde oxidase 3,146901.97,12,26,86.7,5,3.0499136151621764,3.1698748580735945,4.868659394744779,5.1033946581970095,5.0780884894352365,4.678508328360126,2.0863951016658917,2.4375402673958493,3.267268190391273,3.3381612918501817,4.1202032245076845,,,3.1698748580735945,,,4.643032419151319,4.778702907222802,4.851195445907554,5.536203691492171,4.534162509950049,5.138101774239547,4.334132226527276,5.770183567312971,5.067648532981515,5.206907189923737,4.760958260248778,5.240168844694971,5.277584954585483,5.121193745830488,4.990536641816463,5.191719966189917,3.4225192181602795,4.821428920326161,4.875945599291053,5.080927937833217,0.00422013047423702,0.0380917938158463,1.8187457795826028,TRUE,4.549689780314839,0.6214120460248161,0.73105789050936,-0.1901510663846535,FALSE,-0.5195449884636429,"nucleotide binding;catalytic activity;aldehyde oxidase activity;binding;iron ion binding;protein binding;electron carrier activity;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors;molybdenum ion binding;identical protein binding;protein homodimerization activity;ion binding;cation binding;molybdopterin cofactor binding;metal ion binding;transition metal ion binding;protein dimerization activity;cofactor binding;flavin adenine dinucleotide binding;coenzyme binding;NAD binding;iron-sulfur cluster binding;2 iron, 2 sulfur cluster binding;metal cluster binding;FAD binding",xenobiotic metabolic process;metabolic process;cellular process;cellular metabolic process,cytosol;cell part,,ENSMUSG00000064294,583.763078540521,1.29443018155212,0.297732251499159,8.1818399701288e-7,4.42637542383968e-5,Aox3
Apex1,P28352,P28352,DNA repair nuclease/redox regulator APEX1,35490.41,23,30,100,9,7.9479849893833245,8.217373191470314,8.355891188760939,8.466182337166805,7.936166561765857,7.089031288110853,8.580000648204784,7.6359632812526765,7.7174950725080675,8.171157552172543,7.635308392778554,8.482215509061248,8.159561571189926,8.124552212571475,8.075082316435733,8.245454348093189,8.509014679383393,8.2012115894466,8.542778255893426,8.110094556428491,8.416356862652789,8.700579414207732,8.700959170972308,7.982144097434193,8.217124815403636,8.73010418781615,7.801065635402243,8.076839893535999,8.103356970046308,8.134955493953516,7.564614815891225,7.421506034275428,7.545154086566102,7.374919146225224,6.5431320296362045,6.5604451438513065,0.09760138182692445,0.229303990676809,0.4079061993776145,FALSE,1.9858080425139224,0.00278115670804708,0.0395897657390502,-1.2668599006500862,TRUE,-5.343688053869054,"protein binding transcription factor activity;transcription factor binding transcription factor activity;nucleic acid binding;DNA binding;chromatin binding;damaged DNA binding;double-stranded DNA binding;double-stranded telomeric DNA binding;transcription cofactor activity;transcription coactivator activity;RNA binding;catalytic activity;DNA-(apurinic or apyrimidinic site) lyase activity;nuclease activity;endonuclease activity;endodeoxyribonuclease activity;endoribonuclease activity;exonuclease activity;exodeoxyribonuclease activity;deoxyribonuclease activity;ribonuclease activity;binding;protein binding;phosphoric diester hydrolase activity;transcription factor binding;3'-5'-exodeoxyribonuclease activity;double-stranded DNA specific exodeoxyribonuclease activity;double-stranded DNA specific 3'-5' exodeoxyribonuclease activity;3'-5' exonuclease activity;oxidoreductase activity;hydrolase activity;hydrolase activity, acting on ester bonds;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters;lyase activity;carbon-oxygen lyase activity;endodeoxyribonuclease activity, producing 5'-phosphomonoesters;site-specific endodeoxyribonuclease activity, specific for altered base;endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters;exodeoxyribonuclease activity, producing 5'-phosphomonoesters;chromatin DNA binding;telomeric DNA binding;phosphoric ester hydrolase activity;ion binding;cation binding;sequence-specific DNA binding;structure-specific DNA binding;metal ion binding;NF-kappaB binding;apurinic/apyrimidinic endodeoxyribonuclease activity","nucleobase-containing compound metabolic process;DNA metabolic process;DNA repair;DNA modification;DNA recombination;one-carbon metabolic process;nitrogen compound metabolic process;response to stress;response to DNA damage stimulus;response to oxidative stress;organelle organization;metabolic process;catabolic process;cellular process;cellular component organization;RNA metabolic process;mRNA metabolic process;cellular homeostasis;telomere organization;cellular nitrogen compound metabolic process;regulation of gene expression, epigenetic;response to chemical stimulus;homeostatic process;macromolecule metabolic process;macromolecule modification;cellular metabolic process;primary metabolic process;small molecule metabolic process;response to stimulus;chromosome organization;biological regulation",nucleus;nucleoplasm;transcription factor complex;nucleolus;cytoplasm;mitochondrion;endoplasmic reticulum;centrosome;microtubule organizing center;macromolecular complex;organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;protein complex;cell part,Base excision repair,ENSMUSG00000035960,2362.50548394453,-0.332543572944371,0.135031211824318,0.0055141435084517,0.0485473611134112,Apex1
Apoa4,P06728,P06728,Apolipoprotein A-IV,45029.02,54,30,100,31.5,11.75357557833232,11.200343033845332,10.58266633537352,10.720541121364828,9.99741775655761,10.096314945508833,12.107032171946267,11.865624259594664,11.925086698576422,11.09976787730386,11.770366884240389,10.61740614489602,11.474984397038993,11.237851081312616,11.4947601425239,11.176713403455128,10.29072156940379,10.320181758430376,10.71592502966709,10.96652507825015,10.619978241116192,10.402020965630836,10.708879598596477,10.675825805472586,10.724850421717116,11.091128815407128,10.129833413665848,9.915458366550428,9.793718098820383,10.337701925134686,9.810376978616704,9.7364417775151,9.467152019824384,10.268923296026388,10.371529404258704,10.637528229919598,7.937421737562279e-4,0.0176328354007032,-1.1709092429587995,TRUE,-5.473461653289955,0.0955343941179049,0.208805691125556,-0.4863513898646872,FALSE,-1.9497539640926904,binding;copper ion binding;protein binding;phospholipid binding;enzyme activator activity;lipid binding;antioxidant activity;enzyme regulator activity;phosphatidylcholine binding;identical protein binding;protein homodimerization activity;ion binding;cation binding;amine binding;alcohol binding;metal ion binding;transition metal ion binding;protein dimerization activity;quaternary ammonium group binding;phosphatidylcholine-sterol O-acyltransferase activator activity,immune system process;alcohol metabolic process;lipid metabolic process;nitrogen compound metabolic process;transport;lipid transport;response to stress;response to oxidative stress;cell adhesion;metabolic process;catabolic process;amine metabolic process;anatomical structure morphogenesis;cellular process;cellular component organization;cellular component assembly;biological adhesion;multicellular organismal process;developmental process;cellular component morphogenesis;cellular nitrogen compound metabolic process;response to chemical stimulus;homeostatic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular lipid metabolic process;small molecule metabolic process;response to stimulus;regulation of transport;establishment of localization;macromolecular complex assembly;biological regulation,extracellular region;extracellular space;cytosol;cell surface;macromolecular complex;cell part;synapse,Fat digestion and absorption;Vitamin digestion and absorption,ENSMUSG00000032080,1716.55245676793,-1.19118831883169,0.467675743897931,4.9432472945345e-4,0.00795431864655919,Apoa4
