gene_symbol,uniprot_id,protein_groups,protein_description,mol_weight_da,n_precursors_exp,n_samples_detected,pct_samples_detected,median_precursors_used,mean_log2_D14,mean_log2_D21,mean_log2_M03,mean_log2_M06,mean_log2_M12,mean_log2_M18,D14.20713.Quantity.log2,D14.20714-40ul.Quantity.log2,D14.20715.Quantity.log2,D14.20716.Quantity.log2,D14.20717.Quantity.log2,D21.20718.Quantity.log2,D21.20719b.Quantity.log2,D21.20720.Quantity.log2,D21.20721-40ul.Quantity.log2,D21.20722.Quantity.log2,M03.20723.Quantity.log2,M03.20724.Quantity.log2,M03.20725.Quantity.log2,M03.20726-40ul.Quantity.log2,M03.20727.Quantity.log2,M06.20728b.Quantity.log2,M06.20729.Quantity.log2,M06.20730.Quantity.log2,M06.20731.Quantity.log2,M06.20732.Quantity.log2,M12.20733.Quantity.log2,M12.20734.Quantity.log2,M12.20735.Quantity.log2,M12.20736.Quantity.log2,M12.20737.Quantity.log2,M18.20740-40ul.Quantity.log2,M18.20741.Quantity.log2,M18.20742.Quantity.log2,M18.20743.Quantity.log2,M18.20744.Quantity.log2,p.value.M03-D14,adj.p.value.M03-D14,log2.fold.change.M03-D14,is.significant.M03-D14,t.statistic.M03-D14,p.value.M18-M03,adj.p.value.M18-M03,log2.fold.change.M18-M03,is.significant.M18-M03,t.statistic.M18-M03,go_molecular_function,go_biological_process,go_cellular_component,kegg_pathway
Magohb,A0A023T778,A0A023T778,"Mago homolog B, exon junction complex core component",17309.82,16,30,100,7,9.100494178770365,9.445906536971563,9.452814949900135,9.273303164157106,8.891263162895385,8.522626711051624,9.303551257175233,8.731675869101496,9.248028599493912,9.19111013344424,9.02810503463694,9.221583138867071,9.500936555451489,9.496648524286352,9.430597388682008,9.579767077570889,9.49286818585422,9.331532448932649,9.205514070516251,9.638131390130448,9.59602865406711,9.39687375534469,9.657418659912326,9.151271620611585,8.86329520910797,9.297656575808958,9.168445498025632,8.999604385665497,8.810456217125607,8.980740232595558,8.497069481064628,8.17755868573852,8.663700548866553,9.042491675527067,8.50038858884692,8.228994056279058,0.02913263473176294,0.110086700008502,0.3523207711297722,FALSE,2.683299480451787,0.00193037412681496,0.0356868515522221,-0.93018823884851,TRUE,-5.24822031704753,,nucleobase-containing compound metabolic process;RNA processing;mRNA processing;RNA catabolic process;nitrogen compound metabolic process;metabolic process;RNA splicing;catabolic process;cellular process;RNA metabolic process;mRNA metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process,spliceosomal complex;ribonucleoprotein complex;macromolecular complex;neuronal cell body;cell body;cell part,RNA transport;mRNA surveillance pathway;Spliceosome
Cask,A0A067XG53,A0A067XG53;O70589,Calcium/calmodulin dependent serine protein kinase (Fragment),99227.29,28,30,100,11,5.620498522567094,5.4618348972531585,5.783208566954973,5.6803435820970565,5.851138411281149,5.7015425976529235,5.561321395231905,5.6026270600872445,5.683293211734693,5.7472135696578714,5.508037376123754,5.550753829775425,5.4756723352515335,5.409686279026137,5.724757701470277,5.1483043407424205,5.878613756785279,5.87792167833582,5.802145657715348,5.681933890268129,5.675427851670286,5.912041419586633,5.5727250875340255,5.552934645431488,5.945357296856878,5.41865946107626,5.912132174135566,5.828609424419685,5.837798740363627,5.639228965417439,6.037922752069431,6.108035285107293,5.470312817525558,5.855760735075798,5.135815574499397,5.937788576056572,0.03042217124259856,0.112846124374215,0.16271004438787884,FALSE,2.6261788160682724,0.673453190912167,0.771557840855911,-0.08166596930204939,FALSE,-0.4500166550507772,"nucleotide binding;catalytic activity;protein kinase activity;binding;ATP binding;kinase activity;transferase activity;transferase activity, transferring phosphorus-containing groups;phosphotransferase activity, alcohol group as acceptor;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding",,membrane;cell part,
Igkv14-126,A0A075B5K0,A0A075B5K0,Immunoglobulin kappa variable 14-126 (Fragment),13057.78,4,18,60,2,2.476461927835925,,3.6158132854952467,4.527268886366138,3.6977927585536907,3.7582776592393983,,,,,2.476461927835925,,,,,,3.167815946973498,3.733747721213528,,3.945876188298715,,4.97079269748747,3.82598047816903,4.328829392110333,6.000670232663997,3.51007163139986,3.588793883011206,3.1492970070328004,3.8180068278465593,,4.235073316324197,3.813250219001064,3.6099403660393,3.323891488073574,3.280250131718898,4.764056091364156,,,,FALSE,,0.14961999258747277,0.275262112372559,1.141207013645999,FALSE,1.6770812357130112,,immune system process;response to stimulus,extracellular space,
Igkv9-124,A0A075B5K2,A0A075B5K2,Immunoglobulin kappa chain variable 9-124,10419.51,4,18,60,2,4.402959605765666,2.233873580800345,3.1580065516127473,3.941260957158793,4.058398380133076,4.510743722998867,,,,,4.402959605765666,,2.233873580800345,,,,4.512339970396882,4.040607119370896,0.9210725650704652,,,3.5630482063120374,4.566909707989679,4.1880208651829145,4.399397108593077,2.9889288977162565,4.476325331784869,4.546892105470816,4.032585058315697,,3.177791024960922,5.883677605796781,3.083714175966431,4.343414545702429,4.732168564529825,,,,,FALSE,,0.2206396358076551,0.359977675154381,1.1683298114961933,FALSE,1.3288019934228692,,immune system process;response to stimulus,extracellular space,
Igkv4-63,A0A075B5M1,A0A075B5M1,Immunoglobulin kappa variable 4-63,10157.25,4,18,60,2,3.4035563404846267,2.546471780501123,3.045095490682435,3.8564098660171453,3.2191659600497324,5.412502328791932,,,,2.9818369962525653,3.825275684716688,2.546471780501123,,,,,3.4274586360908583,4.160979758787926,,,1.546848077168521,4.083249148313845,3.8087321894436,4.365191063164328,3.3143639022521123,3.71051302691184,,2.4901457739894273,2.4705943360970064,4.696757770062763,,4.289922630145642,,3.910476674120813,6.008730200696786,7.440879810204491,,,,FALSE,,0.2875354079672331,0.429492815573301,1.3695925214230449,FALSE,1.1775805792653244,,immune system process;response to stimulus,extracellular space,
Igkv5-39,A0A075B5M7,A0A075B5M7,Immunoglobulin kappa variable 5-39,10345.4,7,30,100,5,6.8672083013278185,5.410328988700839,7.30827994753802,8.918841818573114,9.585292028393734,8.348693583808366,4.924753617809177,6.22707061835301,6.949550677414038,8.657930616258902,7.5767359768039615,6.060316948094905,3.8134476194404128,5.048456108420315,5.648883402906106,6.48054086464246,8.398866963835664,8.33064256855177,6.207836976299664,7.2827434410332526,6.32130978796975,9.51167533206503,9.267036389748789,7.923813656365034,7.500526937234641,10.391156777452071,9.144208407083896,10.988215214217918,10.764140953133497,9.120211927352551,7.909683640180813,7.785604523599773,8.159636863278779,7.438186886066829,7.965646559885084,10.39439308621136,0.5907228578727268,0.723652920190339,0.4410716462102018,FALSE,0.5619740081354543,0.17856511925354157,0.310128893520153,1.0404136362703458,FALSE,1.4762625088217023,,immune system process;response to stimulus,extracellular space,
Igkv6-13,A0A075B5N7,A0A075B5N7,Immunoglobulin kappa variable 6-13,10440.57,6,23,76.7,2,4.9444529014880985,,6.504913712795426,7.208124145957562,6.785205893790405,6.431834848567682,,,5.02772987558561,5.281846991065764,4.523781837812921,,,,,,6.629965983987339,6.2640419296052,5.889197757194836,7.3670002127268415,6.374362680462918,7.404704628041653,6.655574831926315,7.183789526478602,6.585157859784902,8.211393883556338,6.632717697026416,7.00084487530886,7.172400191461408,6.193601306980766,6.92646539817457,6.741427587370294,7.030145614274394,6.53089564766358,5.093680295321242,6.763025098208897,0.01103617664296658,0.0618644743032837,2.541294455662473,FALSE,3.839820262156093,0.8675331682889108,0.918777269511942,-0.07307886422774423,FALSE,-0.1728018780642711,,immune system process;response to stimulus,extracellular space,
Ighg2b,A0A075B5P3,A0A075B5P3;A0A0A6YVP0,Immunoglobulin heavy constant gamma 2B (Fragment),,19,30,100,11,10.050784530595317,8.510506674504512,10.740505175820394,11.450343415235366,11.89397716066593,11.683709177746433,8.916497728673269,9.180144238740835,9.9863752058208,11.373923325485157,10.796982154256524,8.711547671537867,7.024182807658018,7.954213441976316,9.45656497995052,9.406024471399837,10.856484705770026,11.83092104481195,10.052178797995197,10.818897893176352,10.14404343734844,11.930680317138847,11.0572666140111,11.40787987032202,10.401184340494272,12.45470593421059,12.114840370647082,12.2178927825557,11.964221340579902,11.798285395015869,11.374645914531092,11.416948121694864,11.467680792959726,12.987225753134998,11.021358721103727,11.525332499838846,0.26166137987112537,0.431569611322475,0.6897206452250764,FALSE,1.2197953236236414,0.07700445425226327,0.182161762572658,0.9432040019260396,FALSE,2.0297009769956773,,,,
Ighg1,A0A075B5P4,A0A075B5P4;A0A0A6YWR2,Immunoglobulin heavy constant gamma 1 (G1m marker) (Fragment),,11,30,100,8,7.400934825738213,6.741933523122448,8.748624803481908,9.163329316997585,8.14003574161343,8.33266952831727,6.844909536088482,7.177307449660274,7.865310959750075,7.8189143693376195,7.298231813854611,6.283375528289803,6.118860934006189,6.688896008875246,7.540946500158838,7.077588644282163,8.72297394053306,8.583120308114033,8.571691316034327,8.857888856928044,9.007449595800084,9.982896641200188,8.933168892567487,8.9014071036301,8.500055671660357,9.499118275929789,8.192435351354115,8.778809566166911,8.461810771260684,8.078673016090674,7.188450003194767,9.831548481121096,8.92189585700433,8.779334225391308,7.216381604411253,6.9141874736583615,0.00105902142579302,0.0202939632968261,1.3476899777436948,TRUE,6.358876968264978,0.4944967534967952,0.624315856853825,-0.4159552751646381,FALSE,-0.747692459235184,,,,
Ighg3,A0A075B5P5,A0A075B5P5;A0A1Y7VJN6;P03987,Immunoglobulin heavy constant gamma 3 (Fragment),,17,30,100,8,5.893998185751059,4.95845907771616,7.2609566672081645,8.304950631950963,7.91470990527956,6.316528314904457,6.536608285426343,5.649080385546207,5.367412218243502,6.052801684729534,5.864088354809709,5.066362036949692,4.737896339148417,4.47285405110735,5.9969237365609045,4.518259224814436,7.478835767283531,6.776548593882383,7.3401244695786465,7.194921985882385,7.514352519413876,7.513309665106615,7.203496172938654,8.011224525029439,9.38461843146375,9.41210436521636,9.104883125169978,7.641433962603678,7.592919366607162,7.481919255541449,7.752393816475534,6.042479485124023,7.020091825940807,5.99415814847022,6.836200830900854,5.68971128408638,6.908302497617353e-4,0.0174348347708296,1.3669584814571056,TRUE,5.742462558820005,0.01759889249562795,0.082748219545917,-0.9444283523037074,FALSE,-3.2451458740522607,antigen binding;receptor binding;binding;protein binding;immunoglobulin receptor binding;Fc-gamma receptor I complex binding,immune system process;response to stress;metabolic process;response to biotic stimulus;protein metabolic process;macromolecule metabolic process;primary metabolic process;response to stimulus;multi-organism process;biological regulation,extracellular space;immunoglobulin complex;macromolecular complex;protein complex,
